id;nom;type;photo;avatar;card;muscles;conseil;erreur
mix_025;Squat;squat;assets/exercices/photos/squat.jpg;assets/exercices/avatar/squat_posture.png;assets/exercices/cards/squat_card.png;quadriceps, fessiers, gainage;Pieds ancrés, genoux suivent les pointes, buste solide.;Genoux qui rentrent, dos qui s’arrondit.
mix_026;Squat goblet;squat;assets/exercices/photos/squat_goblet.jpg;assets/exercices/avatar/squat_goblet_posture.png;assets/exercices/cards/squat_goblet_card.png;quadriceps, fessiers;Charge proche poitrine, coudes vers bas, amplitude propre.;Talon qui décolle, buste qui tombe.
mix_027;Presse à cuisses;squat;assets/exercices/photos/presse_a_cuisses.jpg;assets/exercices/avatar/presse_a_cuisses_posture.png;assets/exercices/cards/presse_a_cuisses_card.png;quadriceps, fessiers;Bas du dos plaqué, pousse dans toute la plante.;Verrouiller brutalement les genoux.
mix_028;Fentes avant;squat;assets/exercices/photos/fentes_avant.jpg;assets/exercices/avatar/fentes_avant_posture.png;assets/exercices/cards/fentes_avant_card.png;quadriceps, fessiers;Grand pas stable, genou aligné, buste droit.;Genou vers l’intérieur, appui instable.
mix_029;Fentes arrière;squat;assets/exercices/photos/fentes_arriere.jpg;assets/exercices/avatar/fentes_arriere_posture.png;assets/exercices/cards/fentes_arriere_card.png;quadriceps, fessiers;Recule contrôlé, garde le poids sur jambe avant.;S’écraser en bas, perdre l’équilibre.
mix_030;Soulevé de terre;hinge;assets/exercices/photos/souleve_de_terre.jpg;assets/exercices/avatar/souleve_de_terre_posture.png;assets/exercices/cards/souleve_de_terre_card.png;ischios, fessiers, dos;Barre proche, dos neutre, pousse le sol.;Arrondir le dos, barre loin du corps.
mix_031;Soulevé jambes tendues;hinge;assets/exercices/photos/souleve_jambes_tendues.jpg;assets/exercices/avatar/souleve_jambes_tendues_posture.png;assets/exercices/cards/souleve_jambes_tendues_card.png;ischios, fessiers;Hanches en arrière, genoux souples, dos long.;Descendre trop bas en arrondissant.
mix_032;Hip thrust;hinge;assets/exercices/photos/hip_thrust.jpg;assets/exercices/avatar/hip_thrust_posture.png;assets/exercices/cards/hip_thrust_card.png;fessiers, ischios;Menton rentré, rétroversion bassin, pause en haut.;Cambrer au lieu de pousser les hanches.
mix_033;Leg curl;squat;assets/exercices/photos/leg_curl.jpg;assets/exercices/avatar/leg_curl_posture.png;assets/exercices/cards/leg_curl_card.png;ischios;Contrôle la flexion, bassin collé au banc.;Donner de l’élan, amplitude partielle.
mix_034;Leg extension;squat;assets/exercices/photos/leg_extension.jpg;assets/exercices/avatar/leg_extension_posture.png;assets/exercices/cards/leg_extension_card.png;quadriceps;Monte contrôlé, stop en haut, descente lente.;Charge trop lourde, mouvement violent.
mix_035;Mollets debout;squat;assets/exercices/photos/mollets_debout.jpg;assets/exercices/avatar/mollets_debout_posture.png;assets/exercices/cards/mollets_debout_card.png;mollets;Amplitude complète, pause en haut.;Rebondir sans contrôle.
mix_036;Mollets assis;squat;assets/exercices/photos/mollets_assis.jpg;assets/exercices/avatar/mollets_assis_posture.png;assets/exercices/cards/mollets_assis_card.png;mollets;Descente lente, montée forte, pieds stables.;Amplitude trop courte.
mix_037;Planche;core;assets/exercices/photos/planche.jpg;assets/exercices/avatar/planche_posture.png;assets/exercices/cards/planche_card.png;gainage, abdos;Corps aligné, fessiers serrés, respiration contrôlée.;Bassin qui tombe, épaules relâchées.
mix_038;Planche latérale;core;assets/exercices/photos/planche_laterale.jpg;assets/exercices/avatar/planche_laterale_posture.png;assets/exercices/cards/planche_laterale_card.png;obliques, gainage;Hanche haute, épaule au-dessus coude.;Tourner le bassin vers l’avant.
mix_039;Crunch;core;assets/exercices/photos/crunch.jpg;assets/exercices/avatar/crunch_posture.png;assets/exercices/cards/crunch_card.png;abdos;Enroule le haut du dos, souffle en montant.;Tirer la nuque.
mix_040;Relevés de jambes;core;assets/exercices/photos/releves_de_jambes.jpg;assets/exercices/avatar/releves_de_jambes_posture.png;assets/exercices/cards/releves_de_jambes_card.png;abdos, fléchisseurs hanche;Bas du dos contrôlé, descente lente.;Creuser les lombaires.
mix_041;Russian twist;core;assets/exercices/photos/russian_twist.jpg;assets/exercices/avatar/russian_twist_posture.png;assets/exercices/cards/russian_twist_card.png;obliques;Rotation contrôlée, buste gainé.;Tourner vite sans contrôle.
mix_042;Gainage dynamique;core;assets/exercices/photos/gainage_dynamique.jpg;assets/exercices/avatar/gainage_dynamique_posture.png;assets/exercices/cards/gainage_dynamique_card.png;gainage, épaules;Mouvement lent, bassin stable.;Balancer les hanches.
mix_043;Burpees;conditioning;assets/exercices/photos/burpees.jpg;assets/exercices/avatar/burpees_posture.png;assets/exercices/cards/burpees_card.png;full body, cardio;Mouvement fluide, adapte le saut si besoin.;S’écraser au sol, perdre la posture.
mix_044;Mountain climbers;conditioning;assets/exercices/photos/mountain_climbers.jpg;assets/exercices/avatar/mountain_climbers_posture.png;assets/exercices/cards/mountain_climbers_card.png;core, cardio;Épaules stables, genoux rapides mais contrôlés.;Monter les fesses trop haut.
mix_045;Kettlebell swing;hinge;assets/exercices/photos/kettlebell_swing.jpg;assets/exercices/avatar/kettlebell_swing_posture.png;assets/exercices/cards/kettlebell_swing_card.png;fessiers, ischios, cardio;Hanche explosive, bras relâchés, dos neutre.;Squatter le mouvement, lever avec les bras.
mix_046;Farmer walk;conditioning;assets/exercices/photos/farmer_walk.jpg;assets/exercices/avatar/farmer_walk_posture.png;assets/exercices/cards/farmer_walk_card.png;gainage, avant-bras;Marche droite, épaules basses, tronc solide.;Se pencher d’un côté.
mix_047;Box jump;conditioning;assets/exercices/photos/box_jump.jpg;assets/exercices/avatar/box_jump_posture.png;assets/exercices/cards/box_jump_card.png;jambes, explosivité;Réception souple, monte stable, redescends contrôlé.;Sauter trop haut sans maîtrise.
mix_048;Thruster;conditioning;assets/exercices/photos/thruster.jpg;assets/exercices/avatar/thruster_posture.png;assets/exercices/cards/thruster_card.png;jambes, épaules, cardio;Squat propre puis poussée verticale.;Séparer mal le squat et le press.
mix_049;Wall ball;conditioning;assets/exercices/photos/wall_ball.jpg;assets/exercices/avatar/wall_ball_posture.png;assets/exercices/cards/wall_ball_card.png;jambes, épaules, cardio;Squat complet, lancer fluide, réception stable.;Lancer avec le dos, genoux qui rentrent.
mix_050;Sled push;conditioning;assets/exercices/photos/sled_push.jpg;assets/exercices/avatar/sled_push_posture.png;assets/exercices/cards/sled_push_card.png;jambes, cardio;Buste incliné, pousse fort avec les jambes.;Petits pas désordonnés, dos relâché.
mix_051;Battle rope;conditioning;assets/exercices/photos/battle_rope.jpg;assets/exercices/avatar/battle_rope_posture.png;assets/exercices/cards/battle_rope_card.png;épaules, cardio;Genoux souples, tronc gainé, rythme régulier.;Tirer avec le dos, épaules crispées.
mix_052;Jump rope;conditioning;assets/exercices/photos/jump_rope.jpg;assets/exercices/avatar/jump_rope_posture.png;assets/exercices/cards/jump_rope_card.png;mollets, cardio;Petits rebonds, poignets actifs, posture haute.;Sauter trop haut, épaules tendues.
